,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
105,Kaitangata,44,NZ,1536906878,56,-46.28,169.85,57.35,14.76
107,Gerash,0,IR,1536901200,29,27.67,54.14,91.4,3.13
108,Hilo,75,US,1536904560,81,19.71,-155.08,78.08,4.7
109,Hithadhoo,80,MV,1536906621,100,-0.6,73.08,82.82,14.2
110,Chumikan,92,RU,1536906879,100,54.72,135.31,49.79,7.05
111,Say,20,NE,1536904800,78,13.1,2.36,73.4,13.87
113,Placerville,1,US,1536904680,44,38.73,-120.8,62.78,4.7
114,Labuhan,0,ID,1536906880,47,-2.54,115.51,89.75,3.58
115,Bethel,1,US,1536904380,74,60.79,-161.76,55.94,4.7
117,Hay River,75,CA,1536904800,76,60.82,-115.79,32,6.38
118,Saint-Augustin,90,FR,1536904800,93,44.83,-0.61,60.8,3.36
119,Isangel,64,VU,1536906621,100,-19.55,169.27,74.18,17.9
120,Ostrovnoy,88,RU,1536906882,100,68.05,39.51,46.19,4.7
121,Pleshanovo,75,RU,1536904800,87,57.46,28.17,51.8,4.47
122,Porgera,80,PG,1536906883,75,-5.46,143.15,62.84,2.13
125,La Primavera,0,AR,1536904800,81,-32.92,-68.67,50,2.8
126,Oksfjord,75,NO,1536904200,93,70.24,22.35,50,5.82
127,Broome,0,GB,1536906000,76,52.47,1.45,55.4,6.93
128,Mataura,8,NZ,1536906430,58,-46.19,168.86,57.08,12.75
129,Tabas,0,IR,1536904800,8,33.6,56.92,91.4,4.7
131,Port-Gentil,90,GA,1536904800,94,-0.72,8.78,77,9.17
132,Garowe,0,SO,1536906885,42,8.41,48.48,87.14,18.01
133,Lompoc,1,US,1536904680,86,34.64,-120.46,57.02,3.36
134,Castro,32,CL,1536906432,98,-42.48,-73.76,35.84,2.13
135,Katsuura,75,JP,1536904800,83,33.93,134.5,80.6,8.05
136,Tvedestrand,75,NO,1536904200,100,58.62,8.93,46.4,4.7
137,Saint-Philippe,1,CA,1536904800,93,45.36,-73.48,64.4,2.24
138,Pokosnoye,92,RU,1536906886,100,55.53,101.05,37.55,4.81
139,Broken Hill,0,AU,1536906887,30,-31.97,141.45,77.96,13.53
140,Zhigansk,56,RU,1536906887,64,66.77,123.37,46.19,3.36
141,Zhangye,80,CN,1536906887,88,38.94,100.46,48.53,3.91
143,Bluff,0,AU,1536906555,26,-23.58,149.07,85.07,9.17
144,Banyo,56,CM,1536906888,98,6.75,11.81,63.92,3.8
145,Bijie,76,CN,1536906888,83,27.3,105.3,73.1,4.92
146,Sitka,0,US,1536906888,62,37.17,-99.65,77.69,16.78
147,Ribeira Grande,75,PT,1536904800,88,38.52,-28.7,71.6,9.17
148,Port Macquarie,0,AU,1536904800,50,-31.43,152.91,75.2,18.34
149,Kaspiyskiy,20,RU,1536906889,74,45.39,47.37,75.44,8.39
151,Road Town,20,VG,1536904380,74,18.42,-64.62,82.94,19.46
152,Sumbe,76,AO,1536906890,100,-11.2,13.84,67.88,2.24
153,Gusino,8,RU,1536906890,86,54.72,31.37,59.15,4.7
154,Honningsvag,92,NO,1536906890,98,70.98,25.97,48.35,5.59
155,Barrow,0,AR,1536906427,93,-38.31,-60.23,49.79,8.61
157,Waddan,0,LY,1536906891,65,29.16,16.14,66.26,4.59
158,Sioux Lookout,90,CA,1536905100,100,50.1,-91.92,66.2,3.36
159,Berlevag,75,NO,1536904200,100,70.86,29.09,48.2,5.82
160,Chabahar,20,IR,1536906892,100,25.29,60.65,81.02,1.68
161,Vostok,0,RU,1536906892,76,46.45,135.83,63.11,4.7
162,Dunda,8,IN,1536906892,95,30.62,78.32,63.92,1.9
163,Tanout,32,NE,1536906893,61,14.97,8.88,74.09,5.48
164,Hervey Bay,0,AU,1536906893,82,-25.3,152.85,71.57,8.39
165,Coihaique,0,CL,1536904800,70,-45.58,-72.07,46.4,3.36
166,Pisco,0,PE,1536904800,87,-13.71,-76.2,60.8,8.05
167,San Andres,92,PH,1536906894,100,13.32,122.68,80.84,21.81
168,Terrace,20,CA,1536904800,52,54.52,-128.61,42.8,3.36
169,West Wendover,1,US,1536904560,6,40.74,-114.07,68,12.75
170,Kuryk,0,KZ,1536906895,50,43.18,51.68,74.36,17.11
171,Galle,1,US,1536904560,96,29.74,-97.91,75.2,6.93
172,Sibolga,36,ID,1536906895,72,1.74,98.78,80.84,3.13
173,Aswan,0,EG,1536901200,26,24.09,32.9,82.4,6.93
174,Madang,100,PG,1536906896,99,-5.21,145.81,77.6,2.91
175,Airai,64,TL,1536906896,37,-8.93,125.41,84.71,1.45
176,Khatanga,0,RU,1536906896,99,71.98,102.47,45.02,5.37
177,Ossora,0,RU,1536906897,88,59.24,163.07,47.9,18.57
178,Adrar,36,DZ,1536904800,38,27.87,-0.29,77,6.93
179,Ilulissat,24,GL,1536904200,74,69.22,-51.1,30.2,4.47
180,Luzhou,88,CN,1536906897,96,28.89,105.45,70.85,4.14
181,Monte Alegre,0,BR,1536906898,67,-2,-54.07,79.49,5.14
182,Braganca,0,BR,1536906898,78,-1.05,-46.77,76.79,8.16
183,Ivankiv,0,UA,1536904800,82,50.93,29.9,66.2,2.24
184,Dunedin,0,NZ,1536906692,81,-45.87,170.5,53.84,2.46
187,Cayenne,20,GF,1536904800,100,4.94,-52.33,73.4,2.24
188,Faanui,92,PF,1536906899,100,-16.48,-151.75,80.03,13.53
189,Mtwango,0,TZ,1536906900,67,-9.02,34.8,65.99,8.84
190,Bathsheba,40,BB,1536904800,78,13.22,-59.52,82.4,19.46
191,Nizwa,0,OM,1536906900,21,22.93,57.53,96.05,4.59
192,Pitimbu,20,BR,1536904800,94,-7.47,-34.81,68,8.05
193,Bubaque,20,GW,1536904800,94,11.28,-15.83,77,4.25
194,Palmer,1,US,1536904560,69,61.6,-149.11,55.04,3.36
195,Vila Velha,0,BR,1536904800,78,-3.71,-38.6,77,13.87
196,Port Hedland,0,AU,1536904800,15,-20.31,118.58,95,16.11
197,Kahului,20,US,1536904560,81,20.89,-156.47,80.06,17.22
198,Luzilandia,0,BR,1536906905,56,-3.46,-42.37,76.79,8.95
199,Karratha,0,AU,1536906905,9,-20.74,116.85,97.49,6.71
200,Padang,12,ID,1536906906,100,-0.92,100.36,79.4,4.7
201,Avera,1,US,1536904500,82,33.19,-82.53,80.06,4.7
202,Binzhou,44,CN,1536906739,64,37.38,117.96,83.54,4.59
203,Alekseyevsk,36,RU,1536906907,52,57.84,108.35,48.71,6.15
204,Mackenzie,1,CA,1536904800,79,55.34,-123.09,28.4,3.36
205,Emirdag,0,TR,1536904200,67,39.02,31.15,60.8,6.93
206,Aykhal,32,RU,1536906907,66,65.95,111.51,44.03,4.92
207,Nabire,88,ID,1536906907,91,-3.36,135.5,74.18,1.9
208,Tottori,75,JP,1536904800,88,35.5,134.23,75.2,4.7
209,Koping,75,SE,1536904200,81,59.51,15.99,53.6,13.87
210,Sokolo,20,ML,1536906908,92,14.74,-6.12,68.51,3.36
211,Tolaga Bay,0,NZ,1536906909,79,-38.37,178.3,55.37,3.36
212,Ponta do Sol,56,BR,1536906909,96,-20.63,-46,58.61,2.24
213,Novikovo,44,UA,1536906909,91,45.05,34.56,70.49,10.63
214,Pevek,92,RU,1536906910,90,69.7,170.27,48.62,9.06
215,Byron Bay,0,AU,1536904800,60,-28.65,153.62,71.6,12.75
216,Ferrol,75,ES,1536904800,93,43.48,-8.23,62.6,4.7
217,Huarmey,0,PE,1536906910,85,-10.07,-78.15,52.85,3.36
218,Beloha,0,MG,1536906911,48,-25.17,45.06,74.72,4.7
219,Margherita,75,IN,1536904800,83,27.29,95.67,82.4,11.41
221,Saint-Pierre,76,FR,1536904800,87,48.95,4.24,59,5.82
222,Pryazha,0,RU,1536904800,81,61.69,33.62,53.6,6.71
224,Boffa,92,GN,1536906912,100,10.18,-14.04,70.67,3.91
225,Voznesenye,12,RU,1536906913,100,61.02,35.48,54.47,10.18
226,Samarai,92,PG,1536906913,100,-10.62,150.67,77.69,16.22
228,Matamoros,1,US,1536904740,96,25.87,-97.51,80.06,3.36
229,Vestmannaeyjar,0,IS,1536906480,93,63.44,-20.27,39.2,10.29
230,Balaipungut,24,ID,1536906914,73,1.11,101.31,88.22,3.58
232,Kieta,92,PG,1536906914,100,-6.22,155.63,74.81,2.91
233,Tabuk,88,PH,1536906915,78,17.41,121.44,77.69,5.59
234,Bonoua,40,CI,1536904800,88,5.27,-3.6,77,6.93
235,Techiman,68,GH,1536906915,95,7.58,-1.94,71.57,7.27
237,Obzor,20,BG,1536904800,64,42.82,27.88,71.6,12.75
238,Saskylakh,0,RU,1536906916,74,71.97,114.09,48.26,6.82
239,Plettenberg Bay,0,ZA,1536906916,100,-34.05,23.37,58.52,16.78
240,Kichera,44,RU,1536906916,86,55.93,110.1,41.69,5.48
241,Muscat,0,OM,1536906917,80,23.6,58.55,86.6,4.03
242,Shimoda,75,JP,1536904800,88,34.7,138.93,71.6,8.05
243,Bikapur,8,IN,1536906917,67,26.66,82.14,91.64,8.72
244,Narsaq,92,GL,1536904200,86,60.91,-46.05,37.4,6.93
245,Upernavik,56,GL,1536906557,100,72.79,-56.15,35.57,2.68
247,General Roca,0,AR,1536901200,60,-39.03,-67.58,42.8,2.24
248,Carauari,44,BR,1536906918,97,-4.88,-66.9,73.37,4.25
249,Necochea,0,AR,1536906919,97,-38.55,-58.74,42.68,3.91
250,Prince Rupert,75,CA,1536904800,87,54.32,-130.32,46.4,2.24
251,Kununurra,75,AU,1536904800,19,-15.77,128.74,98.6,8.05
252,Aksarka,92,RU,1536906919,100,66.56,67.8,47.54,12.3
253,Slave Lake,90,CA,1536904800,84,55.28,-114.77,32,4.7
254,Senahu,76,GT,1536906920,93,15.42,-89.82,69.59,1.68
255,Sao Joao da Barra,0,BR,1536906920,100,-21.64,-41.05,72.02,19.46
256,Syracuse,40,US,1536904560,100,43.05,-76.15,68,6.93
257,Aripuana,36,BR,1536906920,84,-9.17,-60.63,75.53,4.14
258,San Quintin,90,PH,1536901200,94,17.54,120.52,80.6,11.41
259,Tasiilaq,92,GL,1536904200,86,65.61,-37.64,39.2,1.12
260,Salalah,90,OM,1536904200,78,17.01,54.1,78.8,9.17
261,Lavrentiya,88,RU,1536906921,95,65.58,-170.99,49.34,17.45
262,Laguna,0,MX,1536906922,63,27.52,-110.01,83.99,2.35
264,Deputatskiy,24,RU,1536906922,64,69.3,139.9,41.51,8.39
265,Cidreira,92,BR,1536906560,92,-30.17,-50.22,62.3,10.18
266,Harlingen,75,US,1536904740,96,26.19,-97.7,80.96,4.7
267,Port Elizabeth,90,US,1536906120,100,39.31,-74.98,71.96,8.05
268,Gazanjyk,0,TM,1536906923,37,39.24,55.52,76.34,4.03
269,Coquimbo,90,CL,1536904800,81,-29.95,-71.34,53.6,2.24
270,Valparaiso,1,US,1536905700,98,41.47,-87.06,62.96,3.36
271,LUGOBA,12,TZ,1536906924,74,-6.46,38.33,77.42,2.91
272,Klaksvik,92,FO,1536904200,93,62.23,-6.59,42.8,5.14
273,Georgetown,20,GY,1536904800,100,6.8,-58.16,71.6,4.7
274,Sao Filipe,68,CV,1536906925,100,14.9,-24.5,75.89,6.38
275,Maralal,0,KE,1536906925,89,1.1,36.7,64.82,3.47
276,Santa Cruz,1,US,1536904560,83,36.97,-122.03,60.98,2.13
277,Villamontes,100,BO,1536906926,98,-21.26,-63.47,62.3,4.92
278,Santa Maria,92,BR,1536906927,100,-29.69,-53.81,60.77,3.8
279,Sokoto,0,NG,1536906928,95,13.06,5.24,71.03,6.93
280,Fortuna,75,ES,1536904800,94,38.18,-1.13,73.4,2.35
282,Pa Sang,40,TH,1536904800,62,18.53,98.94,89.6,5.82
283,Bam,0,IR,1536906929,16,29.11,58.36,83.72,4.25
284,Salekhard,80,RU,1536906929,100,66.54,66.62,47.27,8.84
285,Kangaatsiaq,80,GL,1536906929,100,68.31,-53.46,37.19,4.92
286,Manakara,44,MG,1536906929,100,-22.14,48.01,74.09,7.27
287,Pimentel,8,BR,1536906930,71,-3.7,-45.5,76.07,5.93
288,Solginskiy,48,RU,1536906930,78,61.05,41.34,55.1,18.45
290,Kapit,20,MY,1536906930,36,2.02,112.94,94.7,3.24
291,Lamesa,1,US,1536904500,81,32.74,-101.95,69.26,5.82
293,Mukhen,56,RU,1536906931,83,48.19,136.14,62.39,6.38
294,Umm Lajj,0,SA,1536906931,87,25.02,37.27,85.97,7.27
295,Namwala,0,ZM,1536906932,43,-15.75,26.45,69.59,3.91
296,Kjollefjord,75,NO,1536904200,100,70.95,27.35,48.2,5.82
297,Chuy,64,UY,1536906932,98,-33.69,-53.46,57.17,9.73
298,Beringovskiy,92,RU,1536906932,100,63.05,179.32,50.24,17.67
299,Mount Gambier,20,AU,1536906933,56,-37.83,140.78,65.9,10.85
300,Astoria,75,US,1536904500,96,46.19,-123.83,55.94,4.7
301,Baiyin,75,CN,1536901200,50,36.55,104.13,55.4,13.42
302,Marabba,0,SD,1536906934,73,12.35,32.18,82.73,4.59
303,Okhotsk,0,RU,1536906934,79,59.36,143.24,54.65,4.14
304,Pasighat,100,IN,1536906934,92,28.06,95.33,71.48,0.56
305,Dicabisagan,92,PH,1536906934,100,17.08,122.42,78.14,18.9
306,Frutal,92,BR,1536906935,76,-20.02,-48.93,68.15,4.03
307,Papara,0,BR,1536904800,78,-3.98,-38.73,77,13.87
308,Saint George,0,GR,1536904200,64,39.45,22.34,68,3.36
310,Cabedelo,20,BR,1536904800,94,-6.97,-34.84,68,8.05
311,Antalaha,80,MG,1536906936,97,-14.9,50.28,71.84,8.72
312,Valle del Guamuez,44,CO,1536906936,88,0.45,-76.92,68.06,2.24
313,Hasaki,75,JP,1536903000,78,35.73,140.83,77,4.7
314,Alibag,75,IN,1536904800,78,18.64,72.88,82.4,8.28
315,Bosobolo,48,CD,1536906937,96,4.19,19.88,73.46,1.57
316,The Pas,90,CA,1536904800,87,53.82,-101.24,44.6,9.17
317,Muros,40,ES,1536904800,100,42.77,-9.06,60.8,4.7
318,Petatlan,88,MX,1536906938,99,17.52,-101.27,81.74,2.91
319,Shu,0,KZ,1536906938,24,43.6,73.76,69.41,16.22
320,Bedford,90,GB,1536906000,76,52.14,-0.47,53.6,4.7
321,Havre-Saint-Pierre,20,CA,1536904800,93,50.23,-63.6,55.4,9.17
322,Bela,8,PK,1536906771,66,26.23,66.31,80.21,3.69
323,Marsh Harbour,24,BS,1536906913,99,26.54,-77.06,83.9,11.52
325,Tuni,40,BO,1536904800,93,-16.67,-68.14,39.2,6.93
326,Cocachacra,0,PE,1536906940,93,-17.09,-71.76,45.29,2.24
327,Verkhnyaya Inta,88,RU,1536906940,93,65.99,60.32,49.7,5.7
328,Geraldton,20,CA,1536904800,82,49.72,-86.95,62.6,10.29
330,Maraa,24,BR,1536906941,93,-1.83,-65.37,77.24,2.57
331,Sucre,0,BO,1536906941,56,-19.05,-65.26,35.66,2.46
332,Srednekolymsk,92,RU,1536906941,85,67.46,153.71,37.55,3.58
334,Yarada,24,IN,1536906942,100,17.65,83.27,83.54,15.21
335,Seoul,90,KR,1536904800,54,37.57,126.98,80.6,9.17
336,Talaja,88,IN,1536906942,99,21.35,72.04,77.87,4.92
337,Rocha,76,UY,1536906942,96,-34.48,-54.34,54.56,6.04
338,Los Llanos de Aridane,0,ES,1536904800,94,28.66,-17.92,71.6,6.93
339,Podporozhye,48,RU,1536906943,80,60.91,34.16,52.76,5.93
340,Bayonne,90,US,1536906300,87,40.67,-74.11,71.96,4.7
341,Ratholo,0,BW,1536906944,44,-22.72,27.57,64.37,3.02
342,Abu Samrah,0,SY,1536906944,65,35.3,37.18,75.8,11.97
344,Vardo,90,US,1536905100,84,39.62,-77.74,73.94,6.93
345,Nakamura,75,JP,1536904800,83,35.17,136.87,75.2,4.7
346,Bambous Virieux,40,MU,1536904800,61,-20.34,57.76,77,13.87
348,Igarka,12,RU,1536906945,70,67.47,86.57,43.94,25.5
349,Tuatapere,0,NZ,1536906946,80,-46.13,167.69,54.65,15.1
350,Kefamenanu,8,ID,1536906946,28,-9.45,124.48,87.95,1.9
352,Kodiak,1,US,1536904380,100,39.95,-94.76,68,3.36
353,Muana,0,BR,1536906947,90,-1.53,-49.22,80.03,9.62
354,Brigantine,90,US,1536906120,100,39.41,-74.36,71.96,9.17
355,Hailar,92,CN,1536906947,71,49.2,119.7,61.85,11.3
356,Cravo Norte,8,CO,1536906947,89,6.3,-70.2,75.89,2.8
357,Iqaluit,40,CA,1536904800,86,63.75,-68.52,30.2,4.7
358,Belaya Gora,92,RU,1536906948,99,68.54,146.19,39.44,9.62
359,Shanghai,75,CN,1536904800,62,31.23,121.49,86,6.71
360,Mao,20,DO,1536904800,100,19.55,-71.08,77,4.7
361,Ivybridge,40,GB,1536906000,87,50.39,-3.92,53.6,1.12
362,Makokou,92,GA,1536906949,96,0.56,12.85,71.66,2.8
363,La Ronge,90,CA,1536904800,100,55.1,-105.3,35.6,5.82
364,Tadine,92,NC,1536906949,91,-21.55,167.88,73.82,16.11
365,Bilibino,92,RU,1536906950,95,68.06,166.44,41.6,5.26
366,Lugovoy,88,RU,1536906950,75,59.72,65.88,54.38,14.99
368,Lagoa,0,PT,1536904800,94,37.14,-8.45,69.8,6.93
369,Carballo,75,ES,1536904800,93,43.21,-8.69,62.6,4.7
370,Hambantota,36,LK,1536906951,90,6.12,81.12,83.63,12.3
371,Kochinda,56,IN,1536906951,82,21.73,84.35,86.42,6.26
372,Nyurba,12,RU,1536906952,57,63.29,118.35,49.79,5.03
373,Boyolangu,12,ID,1536906952,39,-8.09,111.9,88.67,10.18
374,Palana,92,RU,1536906944,97,59.08,159.95,43.49,6.82
375,Gumdag,0,TM,1536906952,49,39.2,54.59,78.32,5.59
376,Provideniya,90,RU,1536903000,93,64.42,-173.23,46.4,8.95
378,Kargil,20,PK,1536906953,75,34.56,76.13,38.54,1.57
380,Tuy Hoa,76,VN,1536906953,85,13.08,109.3,84.44,6.15
381,Clyde River,90,CA,1536904800,100,70.47,-68.59,33.8,9.17
382,Miracema do Tocantins,0,BR,1536906954,46,-9.56,-48.4,73.82,7.94
383,Parkes,0,AU,1536906954,52,-33.14,148.18,69.41,6.04
384,Margate,0,AU,1536904800,57,-43.03,147.26,69.8,18.34
385,Ewing,90,US,1536905700,92,40.27,-74.8,71.96,8.05
386,Ode,76,NG,1536906955,98,7.79,5.71,71.3,5.93
387,Mayumba,68,GA,1536906955,100,-3.44,10.65,73.28,5.26
388,Henties Bay,8,NA,1536906956,100,-22.12,14.28,53.12,2.46
389,Tambun,75,MY,1536904800,59,4.62,101.14,91.4,3.36
390,Beidao,100,CN,1536906956,96,34.57,105.89,58.79,3.69
392,Souillac,0,FR,1536904800,82,45.6,-0.6,62.6,4.7
393,Otane,0,NZ,1536906957,71,-39.89,176.62,54.92,4.36
394,Gravdal,75,NO,1536904200,71,59.79,5.78,55.4,21.92
395,Hovd,75,NO,1536904200,87,63.83,10.7,50,2.24
396,Pangnirtung,8,CA,1536906958,92,66.15,-65.72,31.43,15.77
397,Phaphund,0,IN,1536906958,54,26.6,79.47,92.99,9.51
398,Cururupu,0,BR,1536906958,79,-1.82,-44.87,77.87,9.73
400,Batetskiy,76,RU,1536906959,80,58.65,30.3,54.83,4.92
401,Scarborough,68,GB,1536904200,81,54.28,-0.41,55.4,9.17
402,Grindavik,0,IS,1536904800,75,63.84,-22.43,41,17.22
403,Prince Albert,90,CA,1536904800,93,53.2,-105.75,39.2,6.93
404,Ahipara,48,NZ,1536906960,91,-35.17,173.16,54.74,7.61
405,Teya,75,MX,1536904020,88,21.05,-89.07,78.8,9.17
406,Yendi,48,GH,1536906960,90,9.45,0,73.19,7.61
407,Cairns,40,AU,1536904800,47,-16.92,145.77,80.6,19.46
408,Kharan,0,PK,1536906961,21,28.58,65.42,85.7,0.89
409,Seymchan,80,RU,1536906961,67,62.93,152.39,41.42,6.93
410,Sur,0,OM,1536906961,92,22.57,59.53,84.35,1.9
411,Barcelos,75,PT,1536904800,100,41.53,-8.62,59,2.46
412,Dyurtyuli,0,RU,1536906962,64,55.49,54.86,61.22,10.63
413,Kanniyakumari,0,IN,1536906962,97,8.08,77.57,80.21,15.55
414,Manavalakurichi,40,IN,1536904800,70,8.13,77.3,86,13.87
415,Cordoba,36,CO,1536906963,100,5.59,-73.79,48.62,1.57
417,Vila Franca do Campo,20,PT,1536904800,77,37.72,-25.43,69.8,3.36
419,Urucara,0,BR,1536906964,86,-2.54,-57.76,76.79,3.36
421,Hamilton,40,CA,1536904800,93,43.26,-79.87,69.8,8.05
422,Caboolture,0,AU,1536904800,60,-27.08,152.95,78.8,13.87
423,Petawawa,1,CA,1536905520,100,45.89,-77.27,53.6,2.46
424,Oranjemund,8,ZA,1536906552,99,-28.55,16.43,56.54,15.66
